acl 2.3.1-3
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 10.2-1
pinentry 1.2.1-1
pixman 0.42.2-1
pkgconf 1.8.1-1
playerctl 2.4.1-3
polkit 122-1
polybar 3.6.3-3
poppler 23.03.0-1
poppler-glib 23.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
procps-ng 3.3.17-1
psautohint 3:2.4.0-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-ctl 1.70-1
pulseaudio-equalizer 16.1-6
pulseaudio-jack 16.1-6
pulsemixer 1.5.1-3
python 3.10.10-1
python-appdirs 1.4.4-7
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-booleanoperations 0.9.0-5
python-brotli 1.0.9-10
python-cffi 1.15.1-1
python-cryptography 40.0.1-1
python-cssselect 1.2.0-1
python-defcon 0.10.2-2
python-fastjsonschema 2.16.3-1
python-fontmath 0.9.3-2
python-fontparts 0.11.0-2
python-fontpens 0.2.4-5
python-fonttools 4.39.3-1
python-fs 2.4.16-1
python-inflect 6.0.2-1
python-jaraco.context 4.3.0-1
python-jaraco.functools 3.6.0-1
python-jaraco.text 3.11.1-1
python-lxml 4.9.2-1
python-mako 1.2.4-1
python-markdown 3.4.3-1
python-markupsafe 2.1.2-1
python-more-itertools 9.1.1-1
python-mutatormath 3.0.1-3
python-numpy 1.24.2-1
python-ordered-set 4.1.0-1
python-packaging 23.0-1
python-pip 23.0.1-1
python-platformdirs 3.2.0-1
python-ply 3.11-10
python-pyclipper 1.3.0.post4-3
python-pycparser 2.21-3
python-pydantic 1.10.7-2
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.12.0-1
python-pytz 2022.7.1-1
python-setuptools 1:67.6.1-1
python-setuptools-scm 7.1.0-1
python-six 1.16.0-6
python-tomli 2.0.1-1
python-tqdm 4.65.0-1
python-trove-classifiers 2023.3.9-1
python-typing_extensions 4.5.0-1
python-ufonormalizer 0.6.1-2
python-ufoprocessor 1.9.0-6
python-unicodedata2 15.0.0-1
python-validate-pyproject 0.12.2-1
python-wheel 0.40.0-1
python-zopfli 0.2.2-1
qrencode 4.1.1-2
qt5-base 5.15.9+kde+r151-1
qt5-translations 5.15.9-1
ragel 6.10-3
rav1e 0.6.3-1
readline 8.2.001-2
rofi 1.7.5-1
rtkit 0.13-2
rubberband 3.2.1-1
scdoc 1.11.2-5
sdl2 2.26.5-1
sed 4.9-3
semver 7.3.8-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
sndio 1.9.0-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotify 1:1.2.8.923-1
sqlite 3.41.2-1
srt 1.5.1-3
st 0.9-4
startup-notification 0.12-7
sudo 1.9.13.p3-1
svt-av1 1.4.1-1
sx 2.1.7-2
sxhkd 0.6.2-3
sysfsutils 2.1.1-1
systemd 253.3-3
systemd-libs 253.3-3
systemd-sysvcompat 253.3-3
t1lib 5.1.2-8
taglib 1.13-1
tar 1.34-2
tdb 1.4.8-1
texinfo 7.0.3-1
texlive-bin 2023.66539-1
texlive-core 2023.66587-2
tpm2-tss 3.2.0-3
tracker3 3.5.0-1
tree-sitter 0.20.8-2
tslib 1.22-1
ttf-pizzadude-bullets 2.0-3
ttf-weather-icons 2.0.12-1
ttfautohint 1.8.4-1
tzdata 2023c-1
uchardet 0.0.8-1
unibilium 2.1.1-1
unzip 6.0-19
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
v4l-utils 1.24.1-1
vid.stab 1.1-3
vim 9.0.1420-1
vim-plug 0.11.0-1
vim-runtime 9.0.1420-1
vmaf 2.3.1-1
vulkan-icd-loader 1.3.245-1
wayland 1.22.0-1
wayland-protocols 1.31-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-6
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.3.0-1
xf86-video-vesa 2.6.0-1
xkeyboard-config 2.38-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.0-1
xorg-font-utils 7.6-6
xorg-fonts-100dpi 1.0.4-2
